EM wavelength	EX wavelength	S1
nm	nm	CPS
250	240	420
252.5	240	430
255	240	570
257.5	240	930
260	240	1310
262.5	240	1530
265	240	1280
267.5	240	990
270	240	390
272.5	240	490
275	240	480
277.5	240	470
280	240	480
282.5	240	600
285	240	900
287.5	240	1140
290	240	1170
292.5	240	1420
295	240	1800
297.5	240	2060
300	240	2550
302.5	240	2580
305	240	2830
307.5	240	2810
310	240	3140
312.5	240	3280
315	240	3090
317.5	240	3390
320	240	3210
322.5	240	3260
325	240	3130
327.5	240	2700
330	240	2900
332.5	240	3060
335	240	2990
337.5	240	3320
340	240	2860
342.5	240	2810
345	240	2800
347.5	240	2940
350	240	3110
352.5	240	3110
355	240	3040
357.5	240	3960
360	240	4430
362.5	240	5730
365	240	6730
367.5	240	7810
370	240	9240
372.5	240	11810
375	240	13480
377.5	240	15870
380	240	19120
382.5	240	22210
385	240	24840
387.5	240	27100
390	240	30150
392.5	240	31230
395	240	33500
397.5	240	34740
400	240	35880
402.5	240	36940
405	240	37360
407.5	240	37670
410	240	35510
412.5	240	34880
415	240	35690
417.5	240	35320
420	240	32650
422.5	240	32760
425	240	30170
427.5	240	29820
430	240	28210
432.5	240	27020
435	240	26460
437.5	240	24270
440	240	22780
442.5	240	21060
445	240	20250
447.5	240	17900
450	240	16420
452.5	240	15710
455	240	14260
457.5	240	13170
460	240	12270
462.5	240	11160
465	240	10310
467.5	240	9950
470	240	8960
472.5	240	9690
475	240	10210
477.5	240	11380
480	240	12790
482.5	240	13150
485	240	11610
487.5	240	9060
490	240	6740
492.5	240	5030
495	240	4290
497.5	240	3380
500	240	3170
502.5	240	3160
505	240	2680
507.5	240	2290
510	240	2420
512.5	240	2160
515	240	2380
517.5	240	2880
520	240	3340
522.5	240	3460
525	240	3810
527.5	240	3240
530	240	2960
532.5	240	2020
535	240	1620
537.5	240	1370
540	240	1360
542.5	240	950
545	240	1080
547.5	240	1000
550	240	780
250	245	1520
252.5	245	480
255	245	520
257.5	245	530
260	245	1080
262.5	245	1960
265	245	3110
267.5	245	3520
270	245	3070
272.5	245	1960
275	245	1040
277.5	245	870
280	245	740
282.5	245	970
285	245	1030
287.5	245	1610
290	245	2180
292.5	245	2440
295	245	3320
297.5	245	3980
300	245	4220
302.5	245	4690
305	245	5490
307.5	245	5940
310	245	6580
312.5	245	6230
315	245	6290
317.5	245	6130
320	245	6460
322.5	245	6260
325	245	5800
327.5	245	6230
330	245	5830
332.5	245	5610
335	245	5480
337.5	245	5130
340	245	4890
342.5	245	5150
345	245	4650
347.5	245	5060
350	245	4410
352.5	245	5030
355	245	4950
357.5	245	5420
360	245	5700
362.5	245	6380
365	245	7630
367.5	245	8040
370	245	9360
372.5	245	10940
375	245	12370
377.5	245	15400
380	245	16840
382.5	245	19130
385	245	22390
387.5	245	24110
390	245	26610
392.5	245	27650
395	245	28810
397.5	245	29920
400	245	30920
402.5	245	31740
405	245	31500
407.5	245	32210
410	245	32090
412.5	245	31450
415	245	30960
417.5	245	29510
420	245	28420
422.5	245	28830
425	245	27610
427.5	245	26250
430	245	26160
432.5	245	24460
435	245	24140
437.5	245	21610
440	245	21200
442.5	245	19180
445	245	19080
447.5	245	17410
450	245	16630
452.5	245	14680
455	245	14340
457.5	245	13100
460	245	11880
462.5	245	11050
465	245	10110
467.5	245	10300
470	245	9000
472.5	245	8290
475	245	8400
477.5	245	7990
480	245	8660
482.5	245	10250
485	245	14030
487.5	245	18410
490	245	20810
492.5	245	21450
495	245	19190
497.5	245	13150
500	245	8420
502.5	245	4990
505	245	3480
507.5	245	3100
510	245	2850
512.5	245	2820
515	245	2560
517.5	245	2270
520	245	2340
522.5	245	2570
525	245	2680
527.5	245	3750
530	245	4740
532.5	245	5400
535	245	5880
537.5	245	5420
540	245	5700
542.5	245	4280
545	245	3300
547.5	245	2690
550	245	1810
250	250	10220
252.5	250	6480
255	250	2490
257.5	250	760
260	250	430
262.5	250	620
265	250	1500
267.5	250	3140
270	250	6670
272.5	250	8260
275	250	7690
277.5	250	5490
280	250	3130
282.5	250	2160
