EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	1308.68957142739
252.5	240	1333.09073084651
255	240	1776.78855082247
257.5	240	2895.71519904257
260	240	4084.72851756685
262.5	240	4752.23763119908
265	240	3987.4431009554
267.5	240	3075.29855516644
270	240	1211.82151354045
272.5	240	1518.06686213732
275	240	1492.68220069545
277.5	240	1460.24234129826
280	240	1487.15607216151
282.5	240	1859.88359858291
285	240	2798.8318592277
287.5	240	3543.07716608055
290	240	3627.52592900049
292.5	240	4435.38132854295
295	240	5641.93521847043
297.5	240	6393.39950425908
300	240	7912.32603454969
302.5	240	7991.67585573984
305	240	8869.25314304934
307.5	240	8744.30797297921
310	240	9776.06787381447
312.5	240	10184.0399295739
315	240	9688.27540329517
317.5	240	10583.6263186961
320	240	9983.41658616362
322.5	240	10122.4627289104
325	240	9790.59768569732
327.5	240	8415.77016232655
330	240	9029.80549194769
332.5	240	9560.01688390171
335	240	9314.07023846235
337.5	240	10311.2945084741
340	240	8895.3483217691
342.5	240	8803.6517644098
345	240	8721.09063127673
347.5	240	9103.97660553359
350	240	9700.42024146185
352.5	240	9756.3460715276
355	240	9478.50152568162
357.5	240	12265.9900008713
360	240	13821.8558932567
362.5	240	17881.7706021806
365	240	20807.9200288855
367.5	240	24398.6068507536
370	240	28905.8345143743
372.5	240	36860.2417323534
375	240	41961.1749299133
377.5	240	49540.9668011484
380	240	59802.6637352293
382.5	240	68906.1296349239
385	240	77540.249377493
387.5	240	84623.3944097345
390	240	94031.9579330133
392.5	240	96970.9452282756
395	240	104529.255457556
397.5	240	108374.540010271
400	240	111794.463884852
402.5	240	114757.116397195
405	240	116404.760928966
407.5	240	117311.415653377
410	240	110682.070780442
412.5	240	108806.66938488
415	240	111508.923183463
417.5	240	110123.45671377
420	240	101832.112070402
422.5	240	102227.429238355
425	240	93989.7697367958
427.5	240	93064.0412210651
430	240	87886.2284087875
432.5	240	84420.6884912022
435	240	82572.6908444335
437.5	240	75603.4483758628
440	240	71182.047774453
442.5	240	65804.3720881782
445	240	63469.8692203511
447.5	240	56128.6012190912
450	240	51061.3046959421
452.5	240	48928.7038351512
455	240	44323.4303725202
457.5	240	40943.5820884342
460	240	38179.6354201642
462.5	240	34793.6307633637
465	240	32133.5765139648
467.5	240	30830.0518824043
470	240	27905.8094047383
472.5	240	30265.5972048254
475	240	31816.1044420773
477.5	240	35124.0748259387
480	240	39545.5666117507
482.5	240	40480.9409406888
485	240	35950.3004202378
487.5	240	28046.169379125
490	240	20891.1628496932
492.5	240	15549.5683858597
495	240	13261.7497322301
497.5	240	10459.936426475
500	240	9920.11225129317
502.5	240	9804.57849746949
505	240	8264.30323310389
507.5	240	7100.23745509327
510	240	7542.21082496109
512.5	240	6706.05428340449
515	240	7353.50324931791
517.5	240	8989.60801468994
520	240	10421.0123727725
522.5	240	10766.9040563911
525	240	11787.3725355174
527.5	240	10132.0928507899
530	240	9247.39279499482
532.5	240	6291.4977204551
535	240	5040.29081341682
537.5	240	4263.5626418157
540	240	4231.24616232749
542.5	240	2928.8218836146
545	240	3368.87037772528
547.5	240	3125.85679835163
550	240	2431.7014431901
250	245	2783.72871897423
252.5	245	883.170833058203
255	245	963.674328369107
257.5	245	975.075722512605
260	245	1986.07901492922
262.5	245	3615.88382171515
265	245	5736.16878545442
267.5	245	6473.89812702015
270	245	5619.86746302637
272.5	245	3600.42902177558
275	245	1924.80138489774
277.5	245	1600.88881387686
280	245	1350.59135241577
282.5	245	1785.18990178773
285	245	1902.91669178331
287.5	245	2954.44717753847
290	245	3946.22792998533
292.5	245	4498.20604274124
295	245	6103.25125552225
297.5	245	7321.1698251198
300	245	7746.69537710999
302.5	245	8668.47527514874
305	245	10138.8726139173
307.5	245	10914.3217923019
310	245	12006.9655258026
312.5	245	11518.9092502126
315	245	11524.7147949
317.5	245	11261.4184461976
320	245	11873.1843989077
322.5	245	11602.0738604647
325	245	10685.3466476491
327.5	245	11387.6736590479
330	245	10750.0526764854
332.5	245	10378.0654209925
335	245	10065.9903269065
337.5	245	9348.96735666907
340	245	9010.82069522857
342.5	245	9497.94511639954
345	245	8567.57700751455
347.5	245	9283.22867965583
350	245	8111.61658925532
352.5	245	9245.80099268228
355	245	9129.31022444694
357.5	245	9952.10099997733
360	245	10489.827379979
362.5	245	11744.830265037
365	245	14006.2122973566
367.5	245	14779.1680844679
370	245	17218.09614656
372.5	245	20124.9600514118
375	245	22677.8450549173
377.5	245	28348.3679815526
