Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps
250	0.320931723740952	0.546030218260673	0.834132812128465	1.18181179493647	1.56058754605287	1.98023118067361	2.42304691471987	2.9841681750848	3.6180667104274	4.31605652822804	5.20038684290975	6.07168293235182	7.1330781777643	7.80791884150889	8.61921380283278	9.25017229570142	9.78849213354753	10.3149249858193	10.7650244501221	11.2796876340172	11.7061059006073	12.0794259091386	12.3809851614581	12.5202765332684	12.5170693342269	12.667953608975	13.1688398308269	14.0201088133747	15.1656382126132	15.9964574503346	17.0195983952535	18.4588904425809	18.8401033316444	19.2701257908205	19.7450108901938	20.1488035978904	20.7416505498078	20.6738349372926	20.8612522949234	21.3473522685183	22.0041650099686	22.2444786686522	24.7643824058893
252.5	0.322558690155284	0.543496209377611	0.83508278424491	1.176037483077	1.56021729154652	1.97312344046819	2.43150945225106	2.95654340568521	3.61128015818612	4.33824639295861	5.21993034538116	6.12194702297882	7.129017028237	7.79329522268087	8.62421200983908	9.23122016284874	9.81542913717348	10.3934374203817	10.7314562591712	11.2460785724006	11.6869218341648	12.1455588502006	12.3486846096456	12.5088547652764	12.4888336245686	12.6725916093834	13.2153541961766	14.0780862827752	15.1088991007353	15.9843201901064	16.9946707220158	18.7098308559817	19.0068926833782	18.9894379867945	19.5976293905533	20.2285614405813	20.8144088502911	20.6961453620059	20.7789704349089	21.3284317974044	21.8874759235325	22.4813755182679	24.4803106907443
255	0.320803507956052	0.539601382637257	0.830007949615032	1.18110433741364	1.56287399160724	1.97434467189495	2.43338726839932	2.97181099101686	3.59642457540653	4.34945816186974	5.20985173990269	6.05317524224053	7.13900881883659	7.81960162634208	8.70628215308053	9.2205631882396	9.82032899365657	10.3076427364939	10.7913670094833	11.2829265942276	11.6587825981987	12.0795499859797	12.3935891117418	12.5040101456088	12.5348419855935	12.694699725153	13.2421130152963	14.0343574550973	15.0903891294351	15.9572623445026	17.3069088646578	18.559079498567	18.8658685598104	19.0397882673499	19.6670831866555	20.1791512387573	20.8133628297875	20.6615463631242	20.8337071900558	21.4717795751375	21.9315151689576	22.2598498233744	24.5652907929353
257.5	0.321164180893028	0.543547529451641	0.833780675529969	1.18651824908319	1.56055151433084	1.9756933161142	2.42001870416377	2.96931022051726	3.61089417949807	4.32019751173835	5.17950029999514	6.05387752799505	7.13503486565789	7.80986099540614	8.66643052260155	9.23076664112803	9.81476337332995	10.3386624655745	10.7703356682924	11.2927447169225	11.634580381513	11.9819867628656	12.4124797058992	12.5102473433775	12.4891531970118	12.7972947017206	13.2582807167394	14.1835274507001	15.1561415925984	15.9531408006892	17.0490051181556	18.5065198521758	18.924282194825	19.0529310743029	19.7777270613244	20.0597629030647	20.8016701418471	20.6674781257952	20.8186552491994	21.3810169412319	21.9220181597191	22.2513910221396	24.5608571992034
260	0.320706748163603	0.543785011513498	0.829317734530602	1.17855313280288	1.56635536052939	1.97318761893321	2.42234248225189	2.95745292867028	3.61650338649608	4.31403076379756	5.22856955116515	6.07881561502941	7.12633915657896	7.82213207521213	8.64221863947315	9.24031247836616	9.83612691361185	10.3925390439324	10.7495002880967	11.2525464677971	11.6742954687204	12.0386379688613	12.3452121670784	12.5121856902069	12.5768405581742	12.6748376268009	13.2229589628914	14.0750872441305	15.120479621166	15.9524570314749	17.0211631230303	18.5346037296243	18.9174080951217	19.0513254529716	19.8085252331953	20.1944184963852	20.7967659060274	20.5951926646655	20.6769933235102	21.3819873391772	21.9198097857047	22.3464170227269	24.6012311004052
262.5	0.321953597176064	0.542052813818088	0.831342277261848	1.17678374274567	1.56900031036918	1.96908594496689	2.42886644599947	2.96372867770306	3.61454745393305	4.31375697535012	5.25491332360014	6.08626983090459	7.09752623745794	7.83061261248079	8.65256643287424	9.3276131207852	9.83676627975075	10.324800382378	10.7651053979967	11.2885011485751	11.672184880683	12.1694975628625	12.3592284784828	12.5271793270339	12.5284849758152	12.6229001429531	13.2125621887783	14.0677589666687	15.0401554877212	16.0386397768795	17.0495961215711	18.64614527885	18.8697239827682	19.0180472853833	19.6724487567019	20.2376219874192	20.777545935403	20.6426875375179	20.7305281133299	21.3853520852572	22.0502341626119	22.5211426079487	24.5668503022062
265	0.321007715368606	0.542173725411678	0.83260368792689	1.18034383557312	1.57130046403779	1.97709992656414	2.43001617760368	2.97459184421135	3.59548681603309	4.32071694379728	5.21287471958701	6.07556991043437	7.14079409712619	7.84221779111415	8.70155698684102	9.22726522212088	9.85436311172342	10.2903267577879	10.7617203348835	11.2443002216011	11.6422818813195	12.0962168252926	12.3797937552286	12.5227853756935	12.4642828971467	12.6855202743222	13.2472620630593	14.0192830382424	15.0717934952946	15.9629994125801	17.3174058586333	18.5904347688243	18.8014842216952	18.9614242845166	19.6507824817663	20.1278458037868	20.8041708132236	20.6150857920255	20.6954930792938	21.4623033788873	21.9120710772403	22.3050835268024	24.6158255217322
267.5	0.321919963945231	0.543721870646767	0.835050169538208	1.1931053374857	1.56775337074459	1.97492169443146	2.42487272796277	2.96540971555934	3.61069474713055	4.31264876003716	5.16949389147588	6.06786754087693	7.12266804458157	7.83482950083598	8.65477158725525	9.23111241291163	9.81184863186398	10.3306011330106	10.8130481233071	11.272658527998	11.635393461333	12.0891354502923	12.3582662363729	12.4564463646888	12.5022555069671	12.8341665119993	13.3169191587238	14.1620867543526	15.1956197642215	15.9148602761402	17.0667053133956	18.5730185243888	18.8185821830509	19.2516591771267	19.5649315299695	20.1358923125429	20.8168789430544	20.7428686284161	20.8642703002821	21.398296970458	21.971900666839	22.357963653539	24.4339791479653
