Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	1308.68957142739	2783.72871897423	12252.2455074289	8986.2024101485	826.611748416643	247.445856212262	280.638396173445	258.028353237203	265.335074456545	366.074908812343	340.359295080756	347.514852720201	335.058713845344	256.150203478998	211.156149694516	157.834897916276	128.722583908677	93.0690238969049	81.7462147046049	78.9028942003626	83.7169942183046	62.089043439771	70.2690447209566	62.2989434720083	54.3258155597649	55.2575436891454	54.6745202500342	42.7956735562295	36.266195480159	31.2569205745951	35.8410337208731	33.0464066568625	27.0699152240523	32.693092242299	25.829309633518	28.7858282593377	28.9273025094697	20.315534165477	23.0091651840483	17.8008024236523	20.9051331778145	19.7801893473936	18.1712587305623
252.5	1333.09073084651	883.170833058203	7759.70972250288	15450.1878226362	4403.23282995429	314.222611360232	337.239075604191	317.938846489603	323.984833286286	382.643088851371	335.253515700355	374.064001436872	302.987072613876	289.992863791777	217.990930400965	170.075025002491	118.181282121104	77.9337929539628	74.5471985049849	63.1331175066157	69.3082414252225	74.1011600289711	72.882256568202	59.9575272135975	56.0500700900466	63.1283658985458	48.4285165951256	49.0123434492816	40.3735570628248	33.1574939501053	41.1893829218581	31.5342241488715	28.9368709110975	46.3415505299296	25.5132899003089	34.6045368602288	26.9044393250769	19.8104522764263	26.9503246926611	19.2231667051066	21.9303496518721	22.6854446510884	20.8330689280355
255	1776.78855082247	963.674328369107	2999.9712667269	17314.3043778682	12873.7186158616	997.799435956247	217.803391545084	329.765251882548	344.786877633832	335.673995625326	355.096477281819	353.533462085578	312.368293216846	277.507743193703	261.879865585711	125.805764389699	118.122315530294	84.4033909828665	65.7933327053059	84.1980129947865	74.6218563278138	57.9491786376533	55.6739451162125	67.1784483712208	51.0576839130132	51.2024714308211	43.0444899044117	47.0274469003414	31.1456514453444	43.8671737599875	31.2014123505745	25.3245318571048	30.2132922315732	37.2903306502379	31.524756066557	32.7070247995547	29.3080942752309	26.1355075031445	25.919534870767	22.3549239745269	20.0624533512754	22.0127271247565	22.3893136310104
257.5	2895.71519904257	975.075722512605	911.510691366081	11301.9753470811	22511.2722504797	5329.77457286258	322.311558442904	309.836268923	296.325493578639	291.653332185964	388.068323888674	412.958469747564	322.353014849343	306.023372426965	219.236742860271	196.083388343442	101.88732646549	100.593283073412	85.4198075468024	61.101177552169	60.1654702658875	56.7518570549122	65.2569042763498	64.7469212851966	50.4437722928032	58.6061364906415	59.5854030306191	48.6479828377208	44.8663002945343	34.4759697711838	28.7406799754079	32.4210064773177	30.6484544052406	42.5131438748793	28.3146793493316	27.4180708245546	24.5172621487744	22.7410425761327	24.9775979176175	28.062276067091	22.3519566688598	19.7740446681383	20.7647475763403
260	4084.72851756685	1986.07901492922	518.498498338978	4938.25847813807	25326.3090864594	17550.2824301738	1032.05885142877	317.841068876332	389.879352875736	370.882844282629	319.399021789402	366.84777779515	362.037217610976	253.127917166536	197.865857291507	146.098955328695	111.832635920725	79.8649874194692	70.7009609406288	70.2063308301676	61.6739572789755	69.7753352308389	59.1322360539681	53.547798649152	46.1165105272034	52.8606377239334	45.3756229361238	64.6532404535879	42.3266996837927	30.7162714203341	35.250234996466	29.1346935643898	28.0165230530007	37.7926460695518	28.7754890023205	23.7689438834755	25.9655757265362	17.9653575484534	21.7633189196971	18.2396516195397	23.7228335958975	23.26994969579	23.5760559149597
262.5	4752.23763119908	3615.88382171515	745.781872229648	1402.12678002351	17826.6376463741	34239.2368257617	7307.93577771047	334.038674811241	318.15877773265	338.452075149992	321.603782199433	349.968052547454	333.919160100047	242.637465805893	220.743754447607	144.731560209302	134.190440482179	93.9485475821466	76.1720363790028	74.4120046536055	75.3929113525579	75.5988482883264	57.4469515824631	65.457672361281	49.4872285992153	56.2469790586408	44.6544728849866	44.7832523639823	33.24433716182	34.2921848517886	32.845352816979	37.0049674976337	21.7279277839152	36.8071437354138	33.041133213198	28.165364505491	25.0270172241068	21.7994870668914	28.4604423377243	25.2509286659007	24.4895358488127	20.4252514185335	19.9455768229269
265	3987.4431009554	5736.16878545442	1801.57741522244	830.266546462842	6936.92915484166	39193.7701068374	26131.5132735533	1173.27021076577	411.627152518081	391.138790618099	377.910482405776	388.440925672975	338.897882656206	267.78139244991	202.262652840356	147.389282443038	107.566565995417	93.2914981804106	92.9219463879355	79.1512128331691	70.432927870929	69.4431996492987	63.0058961742046	59.890829196493	57.7650560358206	51.2395223801518	50.5764886971121	48.5046202537652	45.1173909868323	36.334023763912	33.4923143070444	29.5851069025205	29.7848825867594	45.3552426809125	27.9887073458952	30.3062735051973	27.8790250862264	27.1645728593875	24.1598495906464	23.2966607159163	19.623886691689	18.3814599711017	17.0621943850391
267.5	3075.29855516644	6473.89812702015	3760.25311357814	888.437899568701	1652.04556298922	26669.4118295979	50159.3335589971	8413.67716207602	401.584764580924	401.145582740454	338.52443522288	375.749797542629	334.144450520973	274.415671683806	224.153807000151	160.327372671782	140.646278981358	97.7677859202819	90.6312437366893	71.8552769063477	86.8041122422248	64.5207428775345	54.2147245564313	52.9846138037372	67.9877322556976	61.5544452583958	48.8100882984029	40.2483059090719	42.7754846518629	43.3557058012289	25.1952554464332	30.1512648180826	33.4775486203957	44.671474395401	28.6226404187612	23.3414041307338	30.7442821640435	24.1046698485589	19.1715307673421	19.160403305274	22.3012113257698	15.6543773584943	18.826241817363
