EM wavelength	EX wavelength	R1
nm	nm	MicroAmps
250	240	0.324081907298368
252.5	240	0.322577036941083
255	240	0.323672959369339
257.5	240	0.323592440649878
260	240	0.322833158566742
262.5	240	0.322261912441394
265	240	0.322375667663186
267.5	240	0.323744802513874
270	240	0.32136944402301
272.5	240	0.321555034759943
275	240	0.323703438799328
277.5	240	0.322963096687392
280	240	0.322635775647336
282.5	240	0.322155600647356
285	240	0.323895646128416
287.5	240	0.323150567116332
290	240	0.324119191194345
292.5	240	0.323629569096947
295	240	0.324160105728306
297.5	240	0.322920764039777
300	240	0.323450330784393
302.5	240	0.324013727216743
305	240	0.323412776998595
307.5	240	0.32389142230503
310	240	0.324113484407454
312.5	240	0.324175534270807
315	240	0.324277028102382
317.5	240	0.32330132966856
320	240	0.324061134365201
322.5	240	0.32409470656088
325	240	0.324559114463989
327.5	240	0.324274436015689
330	240	0.323650633854444
332.5	240	0.32393615153611
335	240	0.323536420868997
337.5	240	0.323150911392747
340	240	0.323317580278291
342.5	240	0.323294339236087
345	240	0.32278459651873
347.5	240	0.322496759501215
350	240	0.323231123029089
352.5	240	0.323527919816465
355	240	0.322597597204885
357.5	240	0.323297825869255
360	240	0.32275078113611
362.5	240	0.324487067233158
365	240	0.322311765764381
367.5	240	0.322064084156099
370	240	0.322604931913773
372.5	240	0.322176459411208
375	240	0.322527960862634
377.5	240	0.323160007538029
380	240	0.323281909045522
382.5	240	0.321654842495391
385	240	0.322624322019233
387.5	240	0.32279235275165
390	240	0.325844170529129
392.5	240	0.32270713051064
395	240	0.322320818040646
397.5	240	0.32268881233507
400	240	0.323382790618209
402.5	240	0.322129427056742
405	240	0.323275234279236
407.5	240	0.325052814472608
410	240	0.324499535570695
412.5	240	0.322640867314317
415	240	0.322824213101996
417.5	240	0.325039335240335
420	240	0.323408365301376
422.5	240	0.322708593446986
425	240	0.324077558543652
427.5	240	0.323354363495271
430	240	0.321463131076928
432.5	240	0.322196357825061
435	240	0.321258477344812
437.5	240	0.323443000843877
