EM wavelength	EX wavelength	S1
nm	nm	CPS
250	240	470
252.5	240	690
255	240	1090
257.5	240	2120
260	240	2840
262.5	240	3060
265	240	2010
267.5	240	1330
270	240	610
272.5	240	410
275	240	310
277.5	240	400
280	240	460
282.5	240	480
285	240	490
287.5	240	460
290	240	470
292.5	240	480
295	240	440
297.5	240	390
300	240	560
302.5	240	550
305	240	450
307.5	240	500
310	240	500
312.5	240	670
315	240	630
317.5	240	620
320	240	550
322.5	240	550
325	240	590
327.5	240	470
330	240	520
332.5	240	430
335	240	460
337.5	240	450
340	240	630
342.5	240	490
345	240	580
347.5	240	660
350	240	450
352.5	240	510
355	240	650
357.5	240	500
360	240	630
362.5	240	660
365	240	530
367.5	240	480
370	240	510
372.5	240	390
375	240	410
377.5	240	640
380	240	690
382.5	240	540
385	240	470
387.5	240	450
390	240	470
392.5	240	530
395	240	420
397.5	240	410
400	240	680
402.5	240	550
405	240	520
407.5	240	460
410	240	500
412.5	240	530
415	240	540
417.5	240	550
420	240	470
422.5	240	490
425	240	460
427.5	240	540
430	240	520
432.5	240	410
435	240	510
437.5	240	450
440	240	660
442.5	240	420
445	240	440
447.5	240	460
450	240	380
452.5	240	440
455	240	490
457.5	240	480
460	240	500
462.5	240	580
465	240	600
467.5	240	1060
470	240	2380
472.5	240	5540
475	240	10990
477.5	240	17060
480	240	20020
482.5	240	20210
485	240	17000
487.5	240	11650
490	240	5840
492.5	240	2180
495	240	1040
497.5	240	640
500	240	630
502.5	240	540
505	240	500
507.5	240	640
510	240	840
512.5	240	1510
515	240	1880
517.5	240	3160
520	240	4000
522.5	240	5010
525	240	5050
527.5	240	4450
530	240	3930
532.5	240	2810
535	240	1700
537.5	240	980
540	240	630
542.5	240	630
545	240	420
547.5	240	510
550	240	440
250	245	2000
252.5	245	690
255	245	590
257.5	245	1070
260	245	1880
262.5	245	3470
265	245	6320
267.5	245	6910
270	245	5710
272.5	245	2580
275	245	1260
277.5	245	440
280	245	590
282.5	245	530
285	245	450
287.5	245	520
290	245	560
292.5	245	580
295	245	530
297.5	245	630
300	245	550
302.5	245	650
305	245	550
307.5	245	570
310	245	610
312.5	245	760
315	245	640
317.5	245	490
320	245	610
322.5	245	630
325	245	460
327.5	245	800
330	245	560
332.5	245	630
335	245	450
337.5	245	580
340	245	510
342.5	245	400
345	245	530
347.5	245	580
350	245	660
352.5	245	500
355	245	730
357.5	245	590
360	245	500
362.5	245	650
365	245	450
367.5	245	550
370	245	450
372.5	245	540
375	245	520
377.5	245	540
380	245	530
382.5	245	600
385	245	460
387.5	245	720
390	245	600
392.5	245	540
395	245	460
397.5	245	520
400	245	600
402.5	245	530
405	245	580
407.5	245	440
410	245	410
412.5	245	520
415	245	530
417.5	245	490
420	245	450
422.5	245	470
425	245	490
427.5	245	490
430	245	560
432.5	245	580
435	245	510
437.5	245	530
440	245	500
442.5	245	600
445	245	490
447.5	245	490
450	245	570
452.5	245	590
455	245	470
457.5	245	600
460	245	540
462.5	245	620
465	245	460
467.5	245	580
470	245	600
472.5	245	540
475	245	600
477.5	245	1410
480	245	4790
482.5	245	10130
485	245	18300
487.5	245	28260
490	245	33080
492.5	245	34130
495	245	27560
497.5	245	18170
500	245	8820
502.5	245	3310
505	245	1150
507.5	245	860
510	245	950
512.5	245	610
515	245	760
517.5	245	640
520	245	1040
522.5	245	1680
525	245	2670
527.5	245	4470
530	245	6080
532.5	245	7800
535	245	8520
537.5	245	8110
540	245	7190
542.5	245	5770
545	245	4100
547.5	245	2090
550	245	1210
250	250	16690
252.5	250	11130
255	250	3990
257.5	250	1140
260	250	720
262.5	250	820
265	250	2310
267.5	250	5490
270	250	9690
272.5	250	12730
275	250	10790
277.5	250	6780
280	250	2210
282.5	250	940
285	250	530
287.5	250	570
290	250	570
292.5	250	560
295	250	520
297.5	250	500
300	250	640
302.5	250	620
305	250	750
307.5	250	640
310	250	630
312.5	250	590
315	250	660
317.5	250	570
320	250	560
322.5	250	510
325	250	520
327.5	250	580
330	250	600
332.5	250	550
335	250	660
337.5	250	590
340	250	740
342.5	250	750
345	250	480
347.5	250	650
350	250	640
352.5	250	590
355	250	660
357.5	250	650
360	250	720
362.5	250	540
365	250	580
367.5	250	490
370	250	660
372.5	250	680
375	250	630
377.5	250	780
380	250	700
382.5	250	620
385	250	640
387.5	250	610
390	250	710
392.5	250	540
395	250	480
397.5	250	470
400	250	630
402.5	250	620
405	250	460
407.5	250	630
410	250	660
412.5	250	670
415	250	540
417.5	250	500
420	250	600
422.5	250	380
425	250	600
427.5	250	580
