EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	1450.25066014343
252.5	240	2139.023926015
255	240	3367.59673135443
257.5	240	6551.45094163001
260	240	8797.1136936755
262.5	240	9495.38211580151
265	240	6234.96188335163
267.5	240	4108.17406078049
270	240	1898.12694188911
272.5	240	1275.05389646934
275	240	957.666687600984
277.5	240	1238.53159727154
280	240	1425.75633181738
282.5	240	1489.96323216316
285	240	1512.83293201702
287.5	240	1423.48504632023
290	240	1450.08383572753
292.5	240	1483.17720577692
295	240	1357.35395017666
297.5	240	1207.72661107652
300	240	1731.3322841314
302.5	240	1697.45894633683
305	240	1391.41070484657
307.5	240	1543.72720475789
310	240	1542.66954031272
312.5	240	2066.78150930508
315	240	1942.78331612529
317.5	240	1917.7155894645
320	240	1697.21062378365
322.5	240	1697.03481379349
325	240	1817.85065865239
327.5	240	1449.38961508905
330	240	1606.670729506
332.5	240	1327.42207981707
335	240	1421.78737949957
337.5	240	1392.53823565141
340	240	1948.54854306944
342.5	240	1515.64670497424
345	240	1796.8639342006
347.5	240	2046.53219158164
350	240	1392.19266939063
352.5	240	1576.37090576084
355	240	2014.8941146241
357.5	240	1546.5615911757
360	240	1951.97048875404
362.5	240	2033.97936820009
365	240	1644.37062588477
367.5	240	1490.38661438371
370	240	1580.88097715851
372.5	240	1210.51674822159
375	240	1271.20761531315
377.5	240	1980.44307795322
380	240	2134.36007612427
382.5	240	1678.81818849886
385	240	1456.80275144284
387.5	240	1394.08507098748
390	240	1442.40726859339
392.5	240	1642.35602467583
395	240	1303.0495596069
397.5	240	1270.57395337979
400	240	2102.77114221214
402.5	240	1707.38825392416
405	240	1608.53645705145
407.5	240	1415.15464416557
410	240	1540.8342545719
412.5	240	1642.69332776022
415	240	1672.73698218351
417.5	240	1692.10289454145
420	240	1453.27100479303
422.5	240	1518.39774319644
425	240	1419.41330978658
427.5	240	1669.99447344058
430	240	1617.60385478097
432.5	240	1272.51593645454
435	240	1587.50674601688
437.5	240	1391.28068570329
440	240	2048.16644927814
442.5	240	1300.36020029433
445	240	1356.87206026029
447.5	240	1425.56034411108
450	240	1172.58429349047
452.5	240	1360.36582799388
455	240	1514.93874322673
457.5	240	1489.72715907782
460	240	1548.89205900243
462.5	240	1798.20238990114
465	240	1855.63993071452
467.5	240	3282.75011936019
470	240	7373.19935974241
472.5	240	17115.6736620195
475	240	33987.750365598
477.5	240	52720.281187499
480	240	61606.6549632297
482.5	240	62395.664005573
485	240	52631.105755352
487.5	240	36099.9706332131
490	240	18051.4128040988
492.5	240	6782.53477494098
495	240	3235.18249637426
497.5	240	1983.35340979947
500	240	1942.39232889993
502.5	240	1670.44182413295
505	240	1548.07325823236
507.5	240	1982.29740889539
510	240	2592.61766089165
512.5	240	4660.01892098259
515	240	5808.17258395887
517.5	240	9812.99599046363
520	240	12403.1117384751
522.5	240	15507.859018903
525	240	15615.2514569239
527.5	240	13806.9981978252
530	240	12207.8044834478
532.5	240	8707.10453650328
535	240	5266.47786239995
537.5	240	3038.28446661934
540	240	1948.12035926051
542.5	240	1947.72242024896
545	240	1300.89988205173
547.5	240	1581.88511818052
550	240	1364.5497949961
250	245	3654.33465102511
252.5	245	1259.59029965572
255	245	1083.35063129523
257.5	245	1956.19180542381
260	245	3437.53103680028
262.5	245	6330.00659693268
265	245	11543.8863979806
267.5	245	12636.3481550751
270	245	10427.3897352392
272.5	245	4687.16754494301
275	245	2304.09586158206
277.5	245	805.390848688029
280	245	1080.79953596218
282.5	245	971.961215552094
285	245	827.099441209306
287.5	245	955.12117292512
290	245	1023.08622134687
292.5	245	1059.37717389072
295	245	970.353351735535
297.5	245	1151.09966339166
300	245	1001.19409270704
302.5	245	1186.57560221683
305	245	1010.7378750075
307.5	245	1040.8744329683
310	245	1113.30497273726
312.5	245	1401.41589264352
315	245	1174.73189095764
317.5	245	895.969482120194
320	245	1107.77246591877
322.5	245	1151.45338272906
325	245	842.895482448532
327.5	245	1469.81685481515
330	245	1017.03604862583
332.5	245	1155.37488749566
335	245	825.163873081328
337.5	245	1063.07470187063
340	245	938.40581544705
342.5	245	737.128034648239
345	245	970.739856340678
347.5	245	1053.39078418351
350	245	1207.43648007842
352.5	245	916.982837111063
355	245	1337.09039172253
357.5	245	1077.63932982386
360	245	919.843947627132
362.5	245	1189.85773788076
365	245	818.754476742368
367.5	245	1005.8177543899
370	245	826.507627156417
372.5	245	989.057198806499
375	245	942.121341600806
377.5	245	988.956022243528
380	245	973.743308264506
382.5	245	1096.91294977319
385	245	843.24067099661
387.5	245	1324.02732690359
390	245	1102.42962814533
392.5	245	978.602237780355
395	245	845.791814997203
397.5	245	954.583375318885
400	245	1098.11661962229
402.5	245	959.443829551907
405	245	1061.88372245985
407.5	245	807.053678525797
410	245	749.98329550854
412.5	245	953.840927778355
415	245	971.632580631205
417.5	245	898.845130463294
420	245	818.51864008357
422.5	245	860.983133427503
425	245	899.448324648331
427.5	245	898.717086151938
430	245	1017.50031930394
432.5	245	1063.94320087331
435	245	938.238447958427
437.5	245	971.760980293665
440	245	909.398558173917
442.5	245	1100.08125011564
445	245	897.300998600558
447.5	245	895.998951393318
450	245	1037.45777253022
452.5	245	1088.51105694624
455	245	862.25313734965
457.5	245	1097.98356183783
460	245	991.016309719202
462.5	245	1140.29957894718
465	245	839.701918354534
467.5	245	1063.84681638554
470	245	1100.69287154928
472.5	245	991.031353044717
475	245	1100.08681683169
477.5	245	2585.23309919536
480	245	8803.44101695435
482.5	245	18520.0076438423
485	245	33185.560836913
487.5	245	51767.3401416443
490	245	60886.0745075473
492.5	245	62705.8639113576
495	245	50362.7100154038
497.5	245	33320.0351043822
500	245	16188.6601270583
502.5	245	6056.5632098114
505	245	2105.14284350257
507.5	245	1579.29458121875
510	245	1743.26026705688
512.5	245	1118.64792018612
515	245	1397.93230311463
517.5	245	1175.89112433572
520	245	1904.5655105503
522.5	245	3061.85787325129
525	245	4883.93138286258
527.5	245	8165.90455597158
530	245	11110.1600376742
532.5	245	14385.1910133979
535	245	15657.4298925717
537.5	245	14909.7176134565
540	245	13091.8982517731
542.5	245	10554.161352985
545	245	7511.29520996327
547.5	245	3810.14492362306
550	245	2202.37255861277
250	250	19976.737993748
252.5	250	13321.003595477
255	250	4780.21947040261
257.5	250	1361.4307742896
260	250	862.469647802292
262.5	250	982.663906439493
265	250	2769.81220733777
267.5	250	6576.29417742601
270	250	11573.101198474
272.5	250	15263.4476865459
275	250	12906.8874316144
277.5	250	8135.38669629214
280	250	2641.30232906368
282.5	250	1127.33375399614
285	250	634.463562807329
287.5	250	683.017484209975
290	250	680.756518798013
292.5	250	668.401807228394
295	250	622.55157995081
297.5	250	597.063776885008
300	250	767.568605188931
302.5	250	742.710945927073
305	250	895.3774756517
307.5	250	764.130574449743
310	250	752.92961043541
312.5	250	704.165585072559
315	250	791.063233311729
317.5	250	681.296876846945
320	250	672.732425408725
322.5	250	612.553539784038
325	250	619.462837805742
327.5	250	694.189987824695
330	250	718.192336957246
332.5	250	658.887751218695
335	250	789.540648941869
337.5	250	708.179870470692
340	250	886.807900674235
342.5	250	897.854993414424
345	250	575.154937140079
347.5	250	782.261607155639
350	250	764.541492836534
352.5	250	704.431866689642
355	250	786.005168478576
357.5	250	780.608147416857
360	250	857.246136574634
362.5	250	642.447965276565
365	250	695.956595123031
367.5	250	586.828990314517
370	250	787.731846648681
372.5	250	813.839246722097
375	250	754.234369090733
377.5	250	933.154402837966
380	250	835.481874060703
382.5	250	736.951923981087
385	250	768.436358143081
387.5	250	728.218550663794
390	250	848.580887698242
392.5	250	646.531718953839
395	250	575.015625350552
397.5	250	559.877168536025
400	250	749.259555347635
402.5	250	745.517577459097
405	250	555.135575224863
407.5	250	754.475106950637
410	250	784.971081984599
412.5	250	803.386496906602
415	250	647.71710338699
417.5	250	597.987124344483
420	250	715.355071711042
422.5	250	456.721945554981
425	250	716.340714687517
427.5	250	690.975717614548
430	250	614.553609920971
432.5	250	719.983153155299
435	250	645.554914084823
437.5	250	691.39329879297
440	250	764.673253780306
442.5	250	697.80195029433
445	250	551.792811656642
447.5	250	789.709398509592
450	250	707.53048053918
452.5	250	655.881466435719
455	250	666.875867480703
457.5	250	778.583216464072
460	250	632.765890669364
462.5	250	738.138487578048
465	250	438.823606190124
467.5	250	465.632294239701
470	250	502.946246281734
472.5	250	587.715560035666
475	250	715.410982767941
477.5	250	503.96837453091
480	250	648.496124371316
482.5	250	685.230385886855
485	250	714.278153597485
487.5	250	2244.25159655982
490	250	8331.94191178873
492.5	250	18425.9192653174
495	250	34077.6780167901
497.5	250	51017.0652480345
500	250	63479.1687604045
502.5	250	60416.2014492709
505	250	47612.338062989
507.5	250	29911.833182907
510	250	14085.2011561739
512.5	250	4221.60362732182
515	250	1532.79845731638
517.5	250	1077.1476150984
520	250	1032.34526410533
522.5	250	1077.98190353349
525	250	1018.09991148668
527.5	250	1146.42652200259
530	250	1145.62775051734
532.5	250	2050.17856853612
535	250	3594.52616469968
537.5	250	6468.62736649906
540	250	9172.63640697751
542.5	250	12805.3143315622
545	250	16066.0523691991
547.5	250	16398.0883472143
550	250	15562.3628940612
250	255	13814.7456791033
252.5	255	25013.4593091221
255	255	24513.8646718274
257.5	255	16348.6030210415
260	255	6069.41122783754
262.5	255	1460.34804058211
265	255	739.118205200576
267.5	255	946.254540979857
270	255	1994.44792160714
272.5	255	6116.61019605093
275	255	12465.3874713045
277.5	255	18275.7842193244
280	255	17938.6185961731
282.5	255	12260.6421803998
285	255	5214.59503805707
287.5	255	1542.07707235624
290	255	733.498509892829
292.5	255	620.023929667042
295	255	689.015067019219
297.5	255	594.727837922312
300	255	490.226446666485
302.5	255	739.828925346245
305	255	482.118407307958
307.5	255	651.123606074518
310	255	618.115245363911
312.5	255	612.027996370109
315	255	601.448721497182
317.5	255	551.590969392201
320	255	557.854692157095
322.5	255	598.58412041714
325	255	559.679431111219
327.5	255	628.187473457814
330	255	618.217567057171
332.5	255	576.819450938056
335	255	711.691333464032
337.5	255	534.648707464868
340	255	634.106523427592
342.5	255	594.425170199648
345	255	603.296686200859
347.5	255	592.567600831547
350	255	506.227044369394
352.5	255	568.141656682258
355	255	477.997173639902
357.5	255	545.13726517019
360	255	779.836405696033
362.5	255	529.515620498316
365	255	629.926170024366
367.5	255	570.287959632025
370	255	442.77579903474
372.5	255	531.470458136955
375	255	506.360880572066
377.5	255	548.438905633809
380	255	517.983516827829
382.5	255	445.25076847569
385	255	470.852244419499
387.5	255	509.049682778902
390	255	455.115384932379
392.5	255	615.750411569189
395	255	614.354698655157
397.5	255	527.414030965125
