Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps
250	0.324081907298368	0.54729525098063	0.835471737438985	1.18207025878887	1.5612261358942	1.98765807084119	2.42495272693059	2.97396521249195	3.62482125735952	4.34355604710311	5.18763344041919	6.08899640861647	6.9669080680131	7.77601906941362	8.48075036527339	9.06397353028891	9.72841204119731	10.2458329307335	10.7029702824884	11.1769469054991	11.6507509210908	11.8980735715602	12.2578213604763	12.3453059323356	12.3857440114739	12.6347668419677	13.1352778273149	13.9293521773628	14.9911448989647	15.773617373907	16.9473330452077	18.5422887424102	18.7171653896431	18.8680232228875	19.6534613452807	20.0381968020788	20.8141099611321	20.5477680432777	20.7042092047463	21.5741708100697	21.7499581628653	22.1889126898759	24.4862874973604
252.5	0.322577036941083	0.54779716880052	0.83552263312796	1.17496743000605	1.56731766557172	1.99103410929905	2.42845785187931	2.96445764344215	3.61758841606809	4.33129516016804	5.19870527097823	6.094534906446	6.97028003908546	7.81087985525189	8.44300128907953	9.0996653479122	9.84138780829673	10.2077291029588	10.6759226144967	11.1783392852359	11.5174084856406	11.9353824774735	12.2886130774759	12.3808693777687	12.3835273672249	12.5867602662555	13.0715298578305	13.912545598062	15.0735379792123	15.7977595777763	17.0230129765384	18.4213505867776	18.7166107784393	18.8034898521801	19.6901469377818	20.145182595708	20.7705536258613	20.5342807386455	20.7440561894464	21.340078403802	21.7919928306619	22.1594463203677	24.4816332615396
255	0.323672959369339	0.544606688690077	0.834689709270596	1.17688501532587	1.56969818537275	1.97646312295476	2.41614910016019	2.95525705165589	3.61681224726634	4.33813790297024	5.21028683663592	6.1092203996626	6.98166262250781	7.80436249086206	8.4723279029549	9.10193818265093	9.69444063675243	10.1689638448367	10.7102180011748	11.1753202575778	11.5538486476724	11.983392249902	12.1514689987195	12.3184852617154	12.2963074666868	12.5329341181947	13.1184617112712	13.9788116949445	14.9384383569027	15.8295453514605	16.9614078132165	18.4758770452945	18.7817835381821	19.1524278390321	19.5617077140647	20.0967144562581	20.8212910524113	20.5589885022162	20.8474897217376	21.3760169412524	22.1198305368386	22.2366269841141	24.576195639082
257.5	0.323592440649878	0.546981127838935	0.837354363900624	1.17747063618979	1.56281882822528	1.97318875762031	2.42186624496802	2.96716218743465	3.61299059209872	4.33819769453415	5.18408449028493	6.07137098930299	6.95163202915236	7.7526881371978	8.49260285072622	9.14844513985868	9.72004141298437	10.217057182022	10.7092752826851	11.1682910294883	11.6558391473216	11.9286227424824	12.2042383001799	12.3543251201077	12.4143358307452	12.6119861264173	13.2263776792633	13.8827145972935	14.9531546347257	15.8999221660457	16.9460232460188	18.4711236273452	18.9179062182886	18.8436373739883	19.5863609579823	20.0396611117652	20.7560060795342	20.5341300428453	20.6966593390546	21.4347976416953	21.8262122519084	22.1183473215126	24.5938154510215
260	0.322833158566742	0.546904152973099	0.834811986525755	1.17309566492115	1.56375115546997	1.97112130143214	2.42919101759998	2.96368409915205	3.61016609876872	4.37080654254496	5.20452445422773	6.08975519003653	6.96636742623773	7.79703010115666	8.50999410103739	9.13338219761292	9.76585552962787	10.3053586407691	10.73413097226	11.1815493910766	11.6003411700659	11.9341881339272	12.2772675042458	12.3923914112619	12.3959523013984	12.6113967709587	13.1331584959915	13.9649874382854	14.8983924210071	15.7783863252409	16.9793968725911	18.5202446446001	18.6843984372626	18.9109944293765	19.5672902335731	20.0637412508267	20.7560761478933	20.4932959365673	20.6303364633497	21.6008619110346	21.805744966836	22.1748263251875	24.4680739354233
262.5	0.322261912441394	0.548182683045142	0.834466387364449	1.17095374012237	1.57161498105026	2.00624796843589	2.42300682034537	2.97798542932246	3.62040592087289	4.3205483952162	5.20911080363614	6.09756592751202	7.02265068942963	7.77038063414685	8.50476123674753	9.10657157490521	9.78242394975299	10.2197930675951	10.7098869998987	11.1556680820126	11.5313349075201	11.9397196279726	12.3361665510841	12.414764495899	12.3627905664342	12.5686064427153	13.1134218477714	13.9411384015252	15.0410627066387	15.7873653747691	16.9556857063063	18.384342499771	18.8064727928417	18.8475319509988	19.7181779282675	20.1683439725662	20.859191015635	20.4982374038322	20.735304541533	21.4310588111442	21.8373964559642	22.2414945378051	24.5479464936899
265	0.322375667663186	0.547475935063393	0.833991558662482	1.17707829935525	1.58424599933914	1.97685963020696	2.42283749356783	2.95279036929011	3.61843024343736	4.34100254983258	5.21600854674257	6.10712502463761	7.10859387947946	7.77984668317834	8.48217940425027	9.11631968264767	9.67448365162212	10.1897409212004	10.658777877548	11.1618480440645	11.5286023941394	12.0701941588091	12.2041399572861	12.3501792080086	12.483185751741	12.6290983545164	13.1101926531859	13.9659442024901	14.8882490114526	15.7907767058872	16.95974341503	18.4729671942322	18.7112149654731	19.0748013134712	19.5862726401115	20.1090167633366	20.8234348512306	20.4845850601381	20.783222998368	21.3040409283637	21.8059305747454	22.371302581707	24.4504643163548
267.5	0.323744802513874	0.546835202322655	0.83481666906647	1.17304588979894	1.5671013369568	1.97747111567129	2.42070905467718	2.97075470137326	3.63604421084515	4.329881593603	5.19585093142772	6.08098650580017	7.17325940571075	7.74103953968091	8.48304226586872	9.14687212658007	9.70557667629474	10.2331395258005	10.6610959622249	11.1545667178958	11.7296200069532	11.972744911218	12.2331649888302	12.3855487294948	12.378874191951	12.6245494654345	13.1314394103277	13.9661699257528	14.8536110725954	15.9247695777276	16.9914857092115	18.5523554385359	18.9180939624285	18.9760934891685	19.5798293417981	20.0912226960267	20.6885988532478	20.6211949228598	20.6435034554833	21.4246482276743	21.765252840537	22.2025471502693	24.7238593958014
