Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	1450.25066014343	3654.33465102511	19976.737993748	13814.7456791033	1172.15562686687	226.39708841348	189.69441956184	151.313135106559	165.525403157966	115.113053585085	113.732014178767	90.3268721298145	97.6042734254035	96.4503807546033	68.3901748098799	72.8157466253063	52.423766370121	61.4884123388588	49.5189639895717	66.207704685071	64.3735330949622	57.1521091973575	54.6589789732393	61.5618603674585	55.7092088582485	41.9477467711986	49.4850591320057	40.2028746828645	33.3530229592091	36.7702592405625	37.1739906402646	32.358464930366	27.7819845673713	23.3198780180781	30.0201572453127	29.9428140129732	32.6701454575679	28.2269100360878	21.2517172546311	21.7853100421653	19.3103819720024	18.4776967546981	15.9272817507367
252.5	2139.023926015	1259.59029965572	13321.003595477	25013.4593091221	5997.50784827089	246.103267498771	197.656302590775	161.918319548885	187.970526713231	113.130133569791	111.566240009383	106.652929219015	76.0371171643111	98.5804434672319	75.8024283174987	58.2439001585483	64.0153616819044	68.5754875486552	54.32785726757	67.9886323547	58.1728086518185	56.1356120144903	52.8944963847385	53.308049690364	46.8364128249167	45.2856801863575	53.5514976145402	35.2200103529763	35.1609556250772	30.3840552602944	29.3720036922438	28.7709632094197	25.6456687421709	27.6544409621765	24.3776748602606	25.3162262281334	28.8870489832752	25.3235069013818	23.1391583023286	22.0242864673011	22.9442072547164	20.3073665963569	22.0573519025928
255	3367.59673135443	1083.35063129523	4780.21947040261	24513.8646718274	17767.7468572579	1082.74218483812	244.190228144812	172.573820512242	157.597342917321	106.036278764916	134.349609138211	94.9384638393521	81.6424440451201	71.7547398209259	71.9991018982221	54.9333548488653	63.9541798471104	45.2356805490627	51.3528296006367	52.7949075642758	49.334210390131	48.4003183660072	46.084963065701	43.8365585157019	47.1686318491415	45.4801720510524	39.6387938955697	37.1991562192701	36.1483568160577	41.6941854832936	39.5014380515	29.7685462320218	29.8161246966539	35.5046370995419	27.6049518729771	26.3724700449709	28.3363792626909	27.238694157528	21.5853326230825	20.1160020214134	18.0833211779736	28.3316350294527	21.1586857313699
257.5	6551.45094163001	1956.19180542381	1361.4307742896	16348.6030210415	31251.2231859033	6851.85335046469	231.226642331519	219.064533362087	210.352056178073	119.865445656192	100.307007143593	90.5890944514892	81.995134036101	77.3925107500673	103.619587006208	68.8641611081172	58.6417254599938	61.6615908843646	50.4235800972525	57.3050969311392	59.1977970250691	51.9758243164102	49.1632484750119	42.8999556711829	55.580903352973	53.9169638456596	38.5593102183671	38.1769715343227	42.1315779438911	30.18882702615	30.6856654479196	33.5659060330327	31.1873836983939	26.0034721680854	27.5702056731435	25.4495321630255	25.0529893856954	22.4017281978925	25.1248277067961	24.2596178742779	21.533740924695	21.2493272290227	18.7038892324815
260	8797.1136936755	3437.53103680028	862.469647802292	6069.41122783754	32517.9615836751	22068.6570473338	1140.29731706185	209.199084402211	180.04711756107	157.865600612522	126.812738763072	113.30504732422	99.047316597345	80.7999958736266	83.4313151772278	81.0214643369906	83.9660178785428	69.8665640952666	45.648781561013	55.4484873531738	48.2744422590821	57.8170875351319	57.0159442854789	54.8723791424174	50.8230416414985	45.9901476841658	39.5944357298905	39.3842101491736	51.0122151788928	32.956475350597	28.8585044378685	35.636678276409	35.3235884053805	32.7851611566701	27.5970762202669	28.9078688141526	26.0164780738102	23.9102583360282	19.3889227502717	23.6101689877232	22.0125476442114	25.7048236428602	22.4782711320708
262.5	9495.38211580151	6330.00659693268	982.663906439493	1460.34804058211	21423.8222503449	40717.7982409058	7936.42008703012	228.342285796445	174.013636528388	141.185781109501	115.182806167452	113.159908101484	103.949353639187	86.2248622745316	75.2519655971853	85.6524317174896	69.5124238627145	56.7526168253901	70.0287500705742	55.5771286346972	52.0321371993724	61.9780047653977	46.20560184881	53.9679991691606	60.6659148652327	45.3510898442022	43.4669155478186	40.1688860601752	48.5338047076821	38.6384925869192	34.2068147550223	40.2516434846239	33.4991046401745	24.4063785749743	16.7358262614579	22.312193832677	19.176199100923	27.3194221028637	23.1489245329653	27.0635251907572	22.8965023833435	18.4340130247588	23.2198648529122
265	6234.96188335163	11543.8863979806	2769.81220733777	739.118205200576	8420.40946012472	45000.6660263918	27203.6404319226	1164.99973576757	221.09034752043	163.556688080587	130.367884543568	90.0587424985026	91.4386179630222	92.5468109232526	75.4523064767184	89.9485788723291	74.4225765350565	72.6220622999728	58.1680195537228	51.0668123907231	52.0444698747709	51.366199403471	47.5248564855839	46.1531764357215	74.5002132064164	48.3011520598263	45.7659178527934	46.5417869766447	38.9568981250812	38.6301453919349	33.6089990308968	24.9012513887658	27.2563807823852	27.785348391844	27.570329991941	28.8427826594423	22.5707239635455	27.8258016126082	22.6143943139573	22.5309368121303	29.3498137034893	25.9260719344195	24.5394112862987
267.5	4108.17406078049	12636.3481550751	6576.29417742601	946.254540979857	1914.36247883356	29138.2258599715	50431.5046717914	8765.44939505196	244.771501222514	152.429110526969	109.702916331238	110.179491331043	86.4321175261566	105.928925410682	73.0869870228694	78.7154329956946	56.6684513804667	70.3596387193476	49.7134630321245	52.8931347062935	50.3000096891675	57.6308945957329	44.9597467623621	58.1322649262522	46.8540184677803	41.1895886996789	51.0225862576082	48.6890825197622	37.0280329350174	38.933059406218	32.369152963583	24.7946952894463	23.7867515032806	28.9838369690758	18.896998208771	24.3887595799187	20.7843944894556	26.1866493197918	25.6739366524156	21.9373496827312	20.6751560984346	18.4663497041612	21.0323150473953
