Wavelength	S1
nm	CPS
365	24560
366	26700
367	28150
368	30480
369	31210
370	35670
371	37740
372	39110
373	41320
374	44210
375	47600
376	50770
377	52200
378	55300
379	58970
380	62490
381	67150
382	72880
383	77030
384	84040
385	94200
386	105930
387	125880
388	148350
389	178620
390	215270
391	252820
392	297330
393	341180
394	371910
395	402720
396	421500
397	420910
398	409210
399	386780
400	356630
401	325700
402	280250
403	250330
404	227580
405	205660
406	191750
407	183100
408	176540
409	177540
410	175920
411	174830
412	174450
413	175950
414	178800
415	179370
416	179390
417	181210
418	180400
419	180320
420	182520
421	181600
422	184650
423	182310
424	183230
425	181890
426	180430
427	180490
428	182660
429	182560
430	179630
431	182330
432	178490
433	176790
434	177110
435	178060
436	176240
437	172700
438	173820
439	169310
440	169830
441	166140
442	166890
443	162910
444	161760
445	157880
446	159110
447	157120
448	152070
449	148930
450	147170
