EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	1705.99672364668
252.5	240	2363.05337710228
255	240	3898.68779501621
257.5	240	6778.03993797708
260	240	8983.12874252934
262.5	240	8460.93485068102
265	240	7098.59687167177
267.5	240	3495.77285770108
270	240	2159.5075040224
272.5	240	2250.12612848618
275	240	2057.48553974728
277.5	240	1875.46215219887
280	240	2032.57617798115
282.5	240	2242.40818348387
285	240	2444.5815792246
287.5	240	2783.04901261267
290	240	3203.15294881486
292.5	240	3326.48231125735
295	240	3660.35924246659
297.5	240	3901.22045378877
300	240	4533.99602302016
302.5	240	5213.16342573813
305	240	5090.81362461375
307.5	240	4828.2654932967
310	240	5600.60920874466
312.5	240	5813.21293352845
315	240	6590.1738293786
317.5	240	6373.07616223482
320	240	6624.41845600972
322.5	240	7110.9879971147
325	240	7388.80208504643
327.5	240	8084.9131812343
330	240	7962.54080585591
332.5	240	8731.84280035385
335	240	8990.03862246602
337.5	240	9866.32692247515
340	240	10983.0812096562
342.5	240	10559.6694860717
345	240	11158.8632572436
347.5	240	12379.6547287592
350	240	12375.3053539435
352.5	240	14731.1042724543
355	240	14168.6181414026
357.5	240	14203.7532567718
360	240	15785.4582203302
362.5	240	15974.1814057715
365	240	17998.0153923857
367.5	240	18162.7401238404
370	240	18463.5121682366
372.5	240	18653.9655766122
375	240	19500.2019664456
377.5	240	20267.7175566436
380	240	21502.6138793569
382.5	240	22302.6464794527
385	240	22995.0521981547
387.5	240	23713.262724843
390	240	23248.619278341
392.5	240	24606.4726361943
395	240	23929.8372412935
397.5	240	24715.9226300697
400	240	24186.9786165754
402.5	240	25207.8829049745
405	240	24205.0512490573
407.5	240	24708.4904075398
410	240	25358.5446265613
412.5	240	25732.6582150284
415	240	24361.1793153489
417.5	240	25769.1973443933
420	240	24667.6261980766
422.5	240	25755.9527305816
425	240	26271.4362658424
427.5	240	24475.3340019442
430	240	25604.1485122811
432.5	240	25523.8450277464
435	240	24379.4156709296
437.5	240	25431.4400267927
440	240	24029.1565331485
442.5	240	24120.3233688827
445	240	23316.2832862764
447.5	240	21997.3991814621
450	240	22792.2517596145
452.5	240	23117.631149468
455	240	21981.1776263237
457.5	240	22156.5663829128
460	240	20951.3718218548
462.5	240	20310.9970100515
465	240	19842.3272264738
467.5	240	23656.2185369222
470	240	33440.6244486234
472.5	240	52837.2483771683
475	240	84162.1181569136
477.5	240	118396.362934868
480	240	148200.700672086
482.5	240	149277.647793213
485	240	125344.134498651
487.5	240	89263.8123133744
490	240	50456.6790863303
492.5	240	25980.0096034225
495	240	15543.1618270413
