Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	1705.99672364668	8443.15555324389	49110.4588912985	32530.6731539907	2279.26912668918	363.352754794827	306.675289586465	331.603722329576	270.271772663522	235.356266376655	237.281001809661	193.912347578605	190.805259112433	150.991805098923	162.714251719796	152.321501434133	147.586544530269	139.355395479356	152.532058740612	143.05771947218	146.547350296644	135.093336056143	132.785111364972	129.975553207859	126.322191979831	120.380051011768	133.354483193566	117.447034390745	96.7970983989003	79.9653757960489	83.899113619419	76.6473299611253	74.5331062456954	67.1908580143094	67.0363885459211	50.2716369701572	53.525590046647	54.0587700035673	53.0452149066109	48.5452217277489	53.9594519557424	46.4414825729094	36.5399966565076
252.5	2363.05337710228	2057.23519500323	30312.9341535579	57776.7332566456	13649.647421057	449.605401081122	381.328114290305	365.364675884525	330.171518471746	240.863267952637	184.185207339153	205.652904507199	184.50401750408	163.048236016744	162.772361666411	178.018354647228	145.373166783393	152.467349558615	151.381431785914	149.692641053879	146.20807242336	125.272731687587	125.514953344864	138.130463025091	111.747544564114	123.235867000956	111.89092128493	116.534326847049	103.237977604908	81.2523418601205	76.7279341044034	76.1545236526688	84.3893117893389	69.3530050229685	64.5126346566952	53.8446578070237	54.077587720609	51.8447095143743	47.0293781336267	56.7423914035627	51.0285169917467	42.782588836668	38.9333773849209
255	3898.68779501621	1140.36602617939	11009.8757497758	61023.9683736092	42756.1170659807	2508.62867336468	358.615467448024	330.230792500587	308.795620091695	234.712698665178	245.532013932215	188.481100801414	178.178850259369	168.05993718561	154.069501003515	168.584322342466	152.843845869563	146.90007197161	135.28963651692	131.216299488383	132.937068790273	134.430245827964	134.360977477742	140.921949766078	129.032106475435	123.328532126478	121.78288590771	116.199746243995	100.260889281833	97.5294571235193	83.416358454416	77.3134375404279	72.4590556476552	63.5571233920079	72.9491979325859	52.1784371198985	53.9060075497367	55.8434736810146	48.9293790934368	53.5565600845886	53.9110885616705	44.208249502974	39.8798947532111
257.5	6778.03993797708	1762.98741312006	2356.6183702184	38853.6859951107	74336.922045507	14812.0099963307	441.749646455037	368.441279453032	338.015324130801	257.099070109871	229.0871151909	206.952293238477	192.523257464618	186.052067176932	168.688272050391	148.091362447807	145.104530500974	143.556721996097	148.714043486843	138.35957040931	144.539728879371	131.121831606893	129.364925514509	128.855837426129	118.710021006869	112.586146502857	128.617210205406	108.501466083201	104.530710265098	91.0928389010506	83.9094263876905	77.7621715922318	69.8450833074898	81.8751664760486	70.6092550866678	61.0699661323279	59.0902510334527	45.7766454758633	50.2831268251196	52.1608586823615	50.2306794327252	47.8218791546335	41.2749532127097
260	8983.12874252934	3596.74611970059	1076.537442036	13205.4060619126	79219.3795721586	51723.4978608655	3027.17037140288	370.71932435882	343.67324142446	226.926968004615	235.889959521873	229.494615336657	199.415402844437	167.732777642796	185.29598397274	152.676813403499	153.33360715527	151.631378770498	152.677386129747	141.144233252067	136.1699920957	135.724697251347	132.416647085774	132.119793118583	135.339814990296	119.994683687589	121.304142543326	101.707779753255	99.4461999516029	89.034369033203	79.7493808190504	65.6641978890642	71.1304937842024	66.5025180434561	76.2489431047207	58.472875050405	49.385132881945	49.2616000839443	50.949825279734	48.2381618799062	42.3783422040073	37.9987009839352	42.109562288001
262.5	8460.93485068102	6732.96298510274	1341.63313987772	2590.75001361464	50456.2083163948	98850.0471858885	22446.8493609323	510.838811772687	353.447403219042	260.111932154061	255.207941464392	243.841975769614	190.30524366423	177.255021286848	179.017100480786	151.819588854684	162.578145251838	146.67631207049	134.538111416997	131.819943530849	125.586475910402	125.199419263178	124.780457533541	120.324306862419	112.508151060927	117.252805313007	113.57987968106	117.752502427478	99.7137004287601	88.4064479092065	80.3960033009369	70.24962413046	63.2440932992465	74.5125960503247	69.9577136652615	73.1084273911725	51.0894430956932	47.6750567031265	53.4821608957428	45.4827814034371	46.597247841838	46.4477781332669	41.599855128669
265	7098.59687167177	10621.3817288747	2990.14591954622	924.826960650089	18186.7300234948	111806.148973995	78607.6366949484	2579.6913589635	365.223553790446	304.964636174135	218.655835968573	211.582443643586	217.1934019715	178.854899367292	181.806165355798	163.367224527314	152.68693667049	145.187792391208	145.683824980283	140.994483225358	133.634896865596	134.403833179063	119.042268250569	129.177492216306	122.113149577543	105.978921454692	118.771619063759	118.2953672713	98.5398838292355	94.5274457693306	87.7560129150414	68.0813039248897	76.2354053644532	69.7989741298839	67.3660256422576	58.9882822227608	58.1120821335314	51.3836082937887	41.950613265067	46.014507952948	46.5545707637175	47.5653642176659	39.3249147537945
267.5	3495.77285770108	11858.5924329535	6672.96537974071	1073.29848086639	3718.41523397471	75652.2174718923	146112.340712948	22207.6130235391	474.226784620188	327.146436020385	278.097594102816	195.775190780337	206.376605421219	190.159182530191	176.668108352981	163.811385362456	148.96127066457	149.648597807311	144.26401804409	132.086552017411	143.833259802613	138.214725720183	133.027317728411	143.53485068563	124.488949618921	120.666630506392	124.985392697082	104.546333902775	96.7974027271593	89.4585805183893	89.1112804051995	76.9233986772486	74.4362052413701	59.7330477732291	63.8694805840925	60.3497974205462	62.1098272449244	51.4257442959591	51.1095276447683	52.1792718021228	50.5745309866951	48.5916795590085	39.8659869436311
