DI water2,
8/19/16 12:30,
Wavelength (nm),Absorbance
600,0.000139
599.5,-0.000004
599,0.000362
598.5,0.0005
598,0.000088
597.5,-0.000042
597,0.000287
596.5,0.00045
596,0.000199
595.5,0.000127
595,0.00053
594.5,0.000126
594,0.000264
593.5,0.000441
593,-0.000278
592.5,-0.000067
592,0.000157
591.5,-0.000019
591,0.000661
590.5,-0.00021
590,0.000306
589.5,-0.000193
589,0.000036
588.5,0.000034
588,-0.000066
587.5,-0.000104
587,-0.000047
586.5,0.000464
586,0.00019
585.5,0.000595
585,0.000118
584.5,-0.000041
584,-0.000186
583.5,0.000157
583,-0.000437
582.5,0.000181
582,-0.000181
581.5,-0.000158
581,-0.00028
580.5,-0.000267
580,0.000072
579.5,0.000116
579,0.000362
578.5,-0.000307
578,0.000171
577.5,0.000205
577,-0.000312
576.5,-0.000098
576,0.000335
575.5,0.000226
575,-0.000221
574.5,-0.000373
574,0.000689
573.5,0.000001
573,0.000246
572.5,-0.000117
572,0.000154
571.5,0.000226
571,0.00007
570.5,0.000093
570,0.000083
569.5,0.000242
569,0.000185
568.5,0.00031
568,0.000091
567.5,0.000154
567,-0.000336
566.5,0.000117
566,0.000234
565.5,0.000166
565,0.000196
564.5,0.000001
564,-0.00061
563.5,-0.000055
563,0.000396
562.5,0.000339
562,-0.000642
561.5,-0.000346
561,0.000061
560.5,0.00027
560,0.000436
559.5,0.000017
559,0.000249
558.5,-0.000177
558,-0.000003
557.5,0.000284
557,-0.000148
556.5,0.000226
556,0.000013
555.5,0.000191
555,0.000074
554.5,0.000138
554,0.000102
553.5,-0.000076
553,-0.000122
552.5,0.000038
552,0.000614
551.5,0.000027
551,0.000278
550.5,-0.000178
550,-0.000174
549.5,0.000243
549,0.000158
548.5,0.000248
548,-0.000085
547.5,-0.000083
547,0.000257
546.5,0.000017
546,-0.000113
545.5,0.000197
545,0.000399
544.5,-0.000139
544,-0.000194
543.5,0.000012
543,0.000173
542.5,0.000171
542,0.000012
541.5,-0.000014
541,-0.000013
540.5,-0.000073
540,-0.000162
539.5,0.000138
539,-0.000094
538.5,-0.000115
538,0.000044
537.5,0.000102
537,0.000097
536.5,-0.000003
536,0.000081
535.5,-0.000042
535,0.000167
534.5,0.000047
534,0.000065
533.5,0.000076
533,0.000168
532.5,0.000133
532,-0.000138
531.5,-0.00002
531,-0.000111
530.5,0.000036
530,0.000029
529.5,-0.000032
529,0.000005
528.5,-0.000045
528,-0.000028
527.5,0.000035
527,0.00017
526.5,0.000037
526,0.000194
525.5,0.000032
525,0.00009
524.5,0.000054
524,0.000242
523.5,0.000292
523,-0.000062
522.5,-0.000115
522,0.000015
521.5,0.000198
521,-0.000334
520.5,0.000044
520,0.000173
519.5,0.000015
519,-0.000107
518.5,0.000093
518,0.00008
517.5,0.00028
517,-0.000231
516.5,0.000455
516,-0.000153
515.5,-0.000258
