f,
8/19/16 12:38,
Wavelength (nm),Absorbance
600,-0.031745
599.5,-0.032221
599,-0.032398
598.5,-0.031885
598,-0.03198
597.5,-0.03253
597,-0.032102
596.5,-0.031664
596,-0.031748
595.5,-0.031741
595,-0.031883
594.5,-0.031999
594,-0.03197
593.5,-0.032019
593,-0.032047
592.5,-0.032424
592,-0.031697
591.5,-0.032009
591,-0.03157
590.5,-0.032363
590,-0.031931
589.5,-0.032061
589,-0.031691
588.5,-0.032137
588,-0.031408
587.5,-0.031977
587,-0.031693
586.5,-0.031679
586,-0.031738
585.5,-0.031584
585,-0.031715
584.5,-0.031482
584,-0.031717
583.5,-0.031714
583,-0.031923
582.5,-0.031589
582,-0.031296
581.5,-0.032193
581,-0.031806
580.5,-0.031977
580,-0.032052
579.5,-0.032661
579,-0.032197
578.5,-0.031936
578,-0.031716
577.5,-0.032024
577,-0.03215
576.5,-0.031958
576,-0.031683
575.5,-0.031729
575,-0.031563
574.5,-0.032007
574,-0.031739
573.5,-0.031775
573,-0.031435
572.5,-0.031913
572,-0.031531
571.5,-0.031389
571,-0.031486
570.5,-0.031518
570,-0.031838
569.5,-0.031412
569,-0.031796
568.5,-0.031678
568,-0.032107
567.5,-0.031647
567,-0.031806
566.5,-0.031703
566,-0.03197
565.5,-0.031474
565,-0.031542
564.5,-0.031567
564,-0.031943
563.5,-0.03165
563,-0.0311
562.5,-0.031674
562,-0.03221
561.5,-0.031682
561,-0.031658
560.5,-0.031515
560,-0.031319
559.5,-0.031704
559,-0.03155
558.5,-0.031628
558,-0.031629
557.5,-0.031808
557,-0.031843
556.5,-0.031707
556,-0.031517
555.5,-0.031642
555,-0.031499
554.5,-0.031828
554,-0.031731
553.5,-0.032196
553,-0.031715
552.5,-0.031542
552,-0.031308
551.5,-0.031839
551,-0.031236
550.5,-0.031886
550,-0.032086
549.5,-0.031673
549,-0.032208
548.5,-0.031722
548,-0.03232
547.5,-0.031774
547,-0.03175
546.5,-0.031774
546,-0.031731
545.5,-0.031851
545,-0.031689
544.5,-0.031856
544,-0.031913
543.5,-0.031642
543,-0.031793
542.5,-0.031656
542,-0.031998
541.5,-0.031705
541,-0.031794
540.5,-0.031845
540,-0.03181
539.5,-0.031824
539,-0.031837
538.5,-0.031853
538,-0.031725
537.5,-0.032073
537,-0.032022
536.5,-0.031795
536,-0.031622
535.5,-0.031811
535,-0.031816
534.5,-0.031893
534,-0.031983
533.5,-0.031579
533,-0.03161
