f2,
8/19/16 12:40,
Wavelength (nm),Absorbance
600,0.00205
599.5,0.001619
599,0.00194
598.5,0.001512
598,0.001774
597.5,0.00142
597,0.001769
596.5,0.001476
596,0.002091
595.5,0.001543
595,0.002109
594.5,0.001923
594,0.001842
593.5,0.001848
593,0.001585
592.5,0.001819
592,0.001801
591.5,0.001599
591,0.001825
590.5,0.001161
590,0.001924
589.5,0.0017
589,0.001729
588.5,0.001694
588,0.002064
587.5,0.001589
587,0.001454
586.5,0.00219
586,0.001942
585.5,0.001759
585,0.001964
584.5,0.001845
584,0.001772
583.5,0.001652
583,0.001647
582.5,0.001495
582,0.002145
581.5,0.001615
581,0.001277
580.5,0.001444
580,0.001436
579.5,0.001547
579,0.001642
578.5,0.001822
578,0.001864
577.5,0.001916
577,0.001632
576.5,0.001799
576,0.001969
575.5,0.001839
575,0.001676
574.5,0.001779
574,0.001506
573.5,0.00186
573,0.002066
572.5,0.001366
572,0.001946
571.5,0.002234
571,0.002029
570.5,0.001927
570,0.001761
569.5,0.001779
569,0.002044
568.5,0.001841
568,0.001822
567.5,0.001972
567,0.001601
566.5,0.001649
566,0.001346
565.5,0.001773
565,0.001758
564.5,0.001608
564,0.001998
563.5,0.001809
563,0.002002
562.5,0.002055
562,0.001657
561.5,0.001824
561,0.002003
560.5,0.00169
560,0.002072
559.5,0.002015
559,0.001679
558.5,0.001897
558,0.001925
557.5,0.001916
557,0.002064
556.5,0.002027
556,0.002421
555.5,0.002106
555,0.002179
554.5,0.001772
554,0.001715
553.5,0.001874
553,0.001666
552.5,0.002296
552,0.002208
551.5,0.002082
551,0.002034
550.5,0.001931
550,0.001965
549.5,0.001895
549,0.001524
548.5,0.001787
548,0.001586
547.5,0.001883
547,0.002004
546.5,0.002294
546,0.00186
545.5,0.001746
545,0.00201
544.5,0.002055
544,0.001783
543.5,0.001953
543,0.002052
542.5,0.002009
542,0.001807
541.5,0.001982
541,0.001884
540.5,0.002138
540,0.001849
539.5,0.002043
539,0.001743
538.5,0.002118
538,0.001965
537.5,0.002082
537,0.001962
536.5,0.00205
536,0.001947
535.5,0.001941
535,0.00211
534.5,0.002005
534,0.002095
533.5,0.002261
533,0.002243
532.5,0.002222
532,0.001992
531.5,0.002167
531,0.002166
530.5,0.002081
530,0.00203
529.5,0.001957
529,0.001991
528.5,0.002122
528,0.002207
527.5,0.001954
527,0.002051
526.5,0.002197
526,0.002324
525.5,0.001992
525,0.002325
524.5,0.002216
524,0.002133
523.5,0.002321
523,0.00189
522.5,0.002291
522,0.002222
521.5,0.002205
521,0.001857
520.5,0.002165
520,0.002177
519.5,0.002208
519,0.002319
518.5,0.002029
518,0.002198
517.5,0.002224
517,0.002121
516.5,0.002137
516,0.002058
515.5,0.002037
515,0.002097
514.5,0.002232
514,0.002563
513.5,0.002357
513,0.001955
512.5,0.001986
512,0.002091
511.5,0.002483
511,0.002418
510.5,0.002344
510,0.002383
509.5,0.002387
509,0.002269
508.5,0.002159
508,0.002589
507.5,0.00207
507,0.002453
506.5,0.002055
506,0.002144
505.5,0.002164
505,0.002457
504.5,0.002314
504,0.002531
503.5,0.002475
503,0.002196
502.5,0.002342
502,0.002513
501.5,0.001864
501,0.002365
500.5,0.002464
500,0.002545
499.5,0.0026
499,0.002024
498.5,0.002255
498,0.0024
497.5,0.002181
497,0.002223
496.5,0.002348
496,0.002271
495.5,0.002381
495,0.002408
494.5,0.002278
494,0.002504
493.5,0.002356
493,0.002443
492.5,0.00224
492,0.002293
491.5,0.002336
491,0.002368
490.5,0.002494
490,0.002386
489.5,0.00245
489,0.002372
488.5,0.002354
488,0.002518
487.5,0.002354
487,0.002476
486.5,0.002295
486,0.00239
485.5,0.002407
485,0.002238
484.5,0.002349
484,0.002326
483.5,0.002551
483,0.002426
482.5,0.002343
482,0.002528
481.5,0.00224
481,0.002382
480.5,0.002425
480,0.002336
479.5,0.002253
479,0.002575
478.5,0.002693
478,0.002531
477.5,0.002416
477,0.002548
476.5,0.002703
476,0.002475
475.5,0.002426
475,0.002759
474.5,0.002423
474,0.0026
473.5,0.002482
473,0.002542
472.5,0.002414
472,0.002601
471.5,0.002785
471,0.00286
470.5,0.002535
470,0.00251
469.5,0.002497
469,0.002669
468.5,0.002542
468,0.002605
467.5,0.002802
467,0.002673
466.5,0.00259
466,0.002742
465.5,0.002659
465,0.002693
464.5,0.002588
464,0.002534
463.5,0.002745
463,0.002637
462.5,0.002823
462,0.002557
461.5,0.00259
461,0.00251
460.5,0.002555
460,0.002682
459.5,0.002755
459,0.002684
458.5,0.002533
458,0.002429
457.5,0.002616
457,0.002578
456.5,0.002677
456,0.002674
455.5,0.002604
455,0.002692
454.5,0.002677
454,0.002573
453.5,0.00268
453,0.002637
452.5,0.002897
452,0.002582
451.5,0.00261
451,0.002613
450.5,0.002655
450,0.002684
449.5,0.002692
449,0.00262
448.5,0.002926
448,0.002477
447.5,0.002859
447,0.002893
446.5,0.002666
446,0.002717
445.5,0.00285
445,0.002805
444.5,0.00286
444,0.002703
443.5,0.002773
