EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	1811.3052352732
252.5	240	2087.28954660512
255	240	3952.35216199147
257.5	240	5882.83277535038
260	240	9299.26390202074
262.5	240	9155.29836621926
265	240	6240.72721743945
267.5	240	3843.79569341977
270	240	2186.87628204842
272.5	240	1493.95818750385
275	240	2120.17713357591
277.5	240	1742.07801529002
280	240	2176.0047329388
282.5	240	1895.99367379735
285	240	2271.75299006086
287.5	240	2559.84435452921
290	240	2942.9429889837
292.5	240	3349.58591034215
295	240	3861.67360952961
297.5	240	4612.88360476292
300	240	4243.64708547419
302.5	240	5374.36956474878
305	240	5000.84609428435
307.5	240	5193.15851000744
310	240	6470.56512205906
312.5	240	5288.44052747697
315	240	6724.09002956019
317.5	240	6301.2339959819
320	240	6401.68729339465
322.5	240	6158.33017060216
325	240	7511.22756985244
327.5	240	7171.81543766844
330	240	8174.06875407322
332.5	240	8321.62637763473
335	240	8363.11967932153
337.5	240	8969.86679626362
340	240	10803.9851474125
342.5	240	10954.2331659014
345	240	12023.6688349556
347.5	240	12522.1587758356
350	240	11570.6912068375
352.5	240	13931.3461613458
355	240	13793.7081330733
357.5	240	14221.1477823512
360	240	16174.5539905328
362.5	240	17552.9868079792
365	240	18664.6942597615
367.5	240	18225.4812289794
370	240	18671.4026307494
372.5	240	18198.0567956982
375	240	20132.405899469
377.5	240	20859.6866489311
380	240	22655.8829145503
382.5	240	22607.2968336967
385	240	23332.6722363911
387.5	240	23389.5893282611
390	240	24236.2584821209
392.5	240	25442.9573064199
395	240	25361.6456708661
397.5	240	25547.3730850949
400	240	24042.2041505622
402.5	240	24539.930931386
405	240	25910.1747515711
407.5	240	28471.8981668942
410	240	26223.8191975129
412.5	240	25533.9977070819
415	240	25732.4826595065
417.5	240	27018.8614933152
420	240	25655.1788647679
422.5	240	26175.1125934964
425	240	25219.6019648852
427.5	240	26909.1184856131
430	240	25963.1519563895
432.5	240	26740.4167683895
