Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	1811.3052352732	10070.6129473529	53738.4886831568	39781.4335500967	2441.23240057067	397.589965381358	295.365758859759	275.207903199171	337.520529386572	214.580325102241	296.194530001819	246.706781342751	216.234086062217	198.29481121917	152.092496746549	200.86990552918	169.162550347102	160.151931921594	187.049720149961	164.152221897412	137.956720826134	166.647680149393	155.681018915304	113.979557371359	154.698824581726	211.49297749841	185.910344220131	133.151155433441	114.300496315574	89.010452811212	102.531146970451	106.749996387049	88.8633815567747	77.7254662781624	73.8314073052021	64.7358894016208	74.6041470811212	61.7332051603361	67.7706835902702	63.9420832970263	79.2195809394272	48.1069459164094	46.2988188462965
252.5	2087.28954660512	2197.462479799	32918.207327655	63461.1636810715	14084.8383590333	404.233614034603	287.358900462428	374.560451460668	299.978435201363	294.468256655759	264.456736226245	189.967661714296	201.530189690807	175.97879112247	173.032276284876	189.725520510552	172.800492165467	166.987651605822	164.976367224269	162.479885261356	130.663869416402	169.371607367834	165.340761684079	128.870175610602	172.360822917514	208.853169526408	182.538688492312	115.811356106664	103.798845743428	96.0421244160155	100.559688191494	96.1439130272654	98.11277445632	73.7639495848849	78.4491810389313	61.6472029222636	58.8158797930515	61.1056365339327	59.7371381906999	63.7511841416795	68.5118303367222	51.2938504066085	40.7118924159049
255	3952.35216199147	1176.79061458129	13216.2942802496	65088.8636876242	42559.6139617266	2152.75239165154	407.224788519032	391.83107475451	300.024612579336	279.037570093125	258.511510390143	199.683484513401	197.227585997784	179.529914956605	191.480808817432	181.864760753108	147.29825853012	166.739766586291	184.716738934326	176.506949711032	139.192265301496	165.968960727089	170.599372458818	136.605065420183	152.816353650637	211.18328622484	203.100576429636	143.231848896065	108.744853526302	86.6969736148516	89.7524268932372	86.8617541751124	86.3788186245895	79.193100191097	74.4357764480194	72.2856310142435	72.8596036940203	54.7172133142032	73.1503056267951	57.5509271512724	60.4442644416472	55.7642719873386	37.6253450861713
257.5	5882.83277535038	1513.87095703277	3126.48710161649	45129.2336219141	74013.9288118297	14812.4894086567	419.103992676373	442.296210052084	367.516336521015	278.189728400086	318.153548484576	221.682147698886	190.064682205138	209.56850772218	190.479037306001	202.10290539351	157.666569429576	175.859575998155	171.854055842626	147.588737634836	140.71105421035	172.199104732718	149.471218924188	130.796118786725	153.661639387817	203.09638261079	196.510408430628	139.102193736025	115.284525379173	94.8825907501254	103.601962411942	88.3349022872455	67.1913884106049	91.060764609805	82.2567461628486	68.3329554040699	58.7622345457629	65.8212221693447	63.9747052634457	67.0373250389912	75.0623390011699	63.2767554857091	44.5486147303913
260	9299.26390202074	3331.62789681998	1130.66245156011	18795.2224411959	81451.1205078997	49833.3377490411	2912.37569119814	413.358611099038	321.786244346177	336.12956634775	295.802431184457	259.083132355875	216.257188871287	208.039889852133	192.522108806227	195.609124558875	140.344996626177	171.721486798791	160.177363204924	143.418102221183	139.059478002497	144.954002278467	149.313764878414	127.901738553152	146.01464136055	214.861899988684	170.042260563819	138.746551160931	110.014218260351	87.8126510370591	87.6478650831674	87.5157204123788	82.7267487092281	84.8858410775141	86.0471626949903	67.9687170289942	67.2897522304725	55.181579508849	77.4416478244302	63.0470859465846	56.4398643365796	54.7519722670517	41.9225491835651
262.5	9155.29836621926	7267.71064641355	1448.46437555703	4250.51459396485	51716.473943496	97550.4104232866	19450.1933520482	564.067224486116	398.737264161556	292.921083239455	282.366047004717	256.762725911048	220.465459052469	204.095189187395	179.42855739997	225.406918416292	175.473888946796	178.089881339464	147.2963845971	167.771115057072	127.111423506619	156.369405844741	164.337883182958	130.501105553901	156.91368078979	162.380715203802	176.258731686605	143.109814819142	102.34824418772	92.3587374527684	105.258628586677	85.4045756900308	73.5901595136537	80.2104917681928	76.5161195139457	84.2514127774282	68.7203718745769	66.6671050394023	68.1942094148564	65.2939550253765	63.2141874578718	52.7017297716761	38.256782585306
265	6240.72721743945	9933.40269279808	2592.22349728912	1206.92395060881	19495.4579042825	119344.454140203	66907.5499201578	2687.01289311712	422.545634194323	330.759896797506	321.672623184348	249.635183240609	245.618732008792	214.089730364333	186.143494128073	247.476275294814	161.727807204568	165.867852869658	160.005283487547	163.213385053854	138.688182708015	135.640994639449	147.473737341551	119.585988031752	154.875072950209	201.727561449574	183.154584095814	122.687347547021	90.9873518490729	91.3009854202011	84.3929716294402	70.9626661297003	72.2554429933878	72.5994227512625	70.7762088688214	75.5886856450517	61.5508177643647	69.31200551778	69.1460316032006	69.1588821204133	64.2518873883948	63.2296596119625	40.5418151577589
267.5	3843.79569341977	11775.2732159363	5976.08136741993	1260.5862772122	3808.07328086302	96313.6307515635	129496.576644108	22888.8905161137	533.663579719982	315.278640289516	297.911794593061	251.07628533775	235.046526155918	217.521740247704	191.713829432092	228.779006978522	182.930960460333	159.709471010569	145.963940540146	136.451396544681	149.346065320881	143.960258518969	132.2472976167	131.31699671467	143.131208440441	203.7343512646	172.742139613921	139.59589233399	98.9564958381852	90.3781445684547	99.7414556098263	79.082269098391	71.5723413673443	57.3360655488934	71.0328028871468	83.6302779104911	67.4937284903525	62.0608166199629	69.1551203823965	69.5773901666533	63.6245316889373	57.695060762338	43.2355836111484
